id,title,type,directors,actors,release_year,duration,categories,plot
19,intrusion,movie,adam salky,"freida pinto,logan marshallgreen,robert john burke,megan elisabeth kelly,sarah minnich,hayes hargrove,mark sivertsen,brandon fierro,antonio valles,clint obenchain",2021,94 min,thrillers,after a deadly home invasion at a couples new dream house the traumatized wife searches for answers  and learns the real danger is just beginning
20,jaguar,tv show,,"blanca suárez,iván marcos,óscar casas,adrián lastra,francesc garrido,stefan weinert,julia möller,alicia chojnowski",2021,1 season,"international tv shows,spanishlanguage tv shows,tv action  adventure",in the 1960s a holocaust survivor joins a group of selftrained spies who seek justice against nazis fleeing to spain to hide after wwii
21,monsters inside the 24 faces of billy milligan,tv show,olivier megaton,,2021,1 season,"crime tv shows,docuseries,international tv shows",in the late 1970s an accused serial rapist claims multiple personalities control his behavior setting off a legal odyssey that captivates america
22,resurrection ertugrul,tv show,,"engin altan düzyatan,serdar gökhan,hülya darcan,kaan taşaner,esra bilgiç,osman soykut,serdar deniz,cengiz coşkun,reshad strik,hande subaşı",2018,5 seasons,"international tv shows,tv action  adventure,tv dramas",when a good deed unwittingly endangers his clan a 13thcentury turkish warrior agrees to fight a sultans enemies in exchange for new tribal land
23,avvai shanmughi,movie,ks ravikumar,"kamal hassan,meena,gemini ganesan,heera rajgopal,nassar,sp balasubrahmanyam",1996,161 min,"comedies,international movies",newly divorced and denied visitation rights with his daughter a doting father disguises himself as a grayhaired nanny in order to spend time with her
24,go go cory carson chrissy takes the wheel,movie,"alex woo,stanley moore","maisie benson,paul killam,kerry gudjohnsen,ac lim",2021,61 min,children  family movies,from arcade games to sled days and hiccup cures cory carsons curious little sister chrissy speeds off on her own for fun and adventure all over town
25,jeans,movie,s shankar,"prashanth,aishwarya rai bachchan,sri lakshmi,nassar",1998,166 min,"comedies,international movies,romantic movies",when the father of the man she loves insists that his twin sons marry twin sisters a woman creates an alter ego that might be a bit too convincing
26,love on the spectrum,tv show,,brooke satchwell,2021,2 seasons,"docuseries,international tv shows,reality tv",finding love can be hard for anyone for young adults on the autism spectrum exploring the unpredictable world of dating is even more complicated
27,minsara kanavu,movie,rajiv menon,"arvind swamy,kajol,prabhu deva,nassar,sp balasubrahmanyam,girish karnad",1997,147 min,"comedies,international movies,music  musicals",a tangled love triangle ensues when a man falls for a woman studying to become a nun  and she falls for the friend he enlists to help him pursue her
28,grown ups,movie,dennis dugan,"adam sandler,kevin james,chris rock,david spade,rob schneider,salma hayek,maria bello,maya rudolph,colin quinn,tim meadows,joyce van patten",2010,103 min,comedies,mourning the loss of their beloved junior high basketball coach five middleaged pals reunite at a lake house and rediscover the joys of being a kid
29,dark skies,movie,scott stewart,"keri russell,josh hamilton,jk simmons,dakota goyo,kadan rockett,lj benet,rich hutchman,myndy crist,annie thurman,jake brennan",2013,97 min,"horror movies,scifi  fantasy",a familys idyllic suburban life shatters when an alien force invades their home and as they struggle to convince others of the deadly threat
30,paranoia,movie,robert luketic,"liam hemsworth,gary oldman,amber heard,harrison ford,lucas till,embeth davidtz,julian mcmahon,josh holloway,richard dreyfuss,angela sarafyan",2013,106 min,thrillers,blackmailed by his companys ceo a lowlevel employee finds himself forced to spy on the bosss rival and former mentor
31,ankahi kahaniya,movie,"ashwiny iyer tiwari,abhishek chaubey,saket chaudhary","abhishek banerjee,rinku rajguru,delzad hiwale,kunal kapoor,zoya hussain,nikhil dwivedi,palomi ghosh",2021,111 min,"dramas,independent movies,international movies",as big city life buzzes around them lonely souls discover surprising sources of connection and companionship in three tales of love loss and longing
32,chicago party aunt,tv show,,"lauren ash,rory omalley,rupaul charles,jill talley,ike barinholtz,jon barinholtz,matthew craig,bob odenkirk,mike hagerty,katie rich,chris witaske",2021,1 season,tv comedies,chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood  and a soft spot for her soulsearching nephew
33,sex education,tv show,,"asa butterfield,gillian anderson,ncuti gatwa,emma mackey,connor swindells,kedar williamsstirling,alistair petrie",2020,3 seasons,"british tv shows,international tv shows,tv comedies",insecure otis has all the answers when it comes to sex advice thanks to his therapist mom so rebel maeve proposes a school sextherapy clinic
34,squid game,tv show,,"lee jungjae,park haesoo,wi hajun,oh youngsoo,jung hoyeon,heo sungtae,kim jooryoung,tripathi anupam,you seongjoo,lee youmi",2021,1 season,"international tv shows,tv dramas,tv thrillers",hundreds of cashstrapped players accept a strange invitation to compete in childrens games inside a tempting prize awaits  with deadly high stakes
35,tayo and little wizards,tv show,,"dami lee,jason lee,bommie catherine han,jennifer waescher,nancy kim",2020,1 season,kids tv,tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone
36,the father who moves mountains,movie,daniel sandu,"adrian titieni,elena purea,judith state,valeriu andriuță,tudor smoleanu,virgil aioanei,radu botar,petronela grigorescu,bogdan nechifor,cristian bota",2021,110 min,"dramas,international movies,thrillers",when his son goes missing during a snowy hike in the mountains a retired intelligence officer will stop at nothing  and risk everything  to find him
37,the stronghold,movie,cédric jimenez,"gilles lellouche,karim leklou,françois civil,adèle exarchopoulos,kenza fortas,cyril lecomte,michaël abiteboul,idir azougli,vincent darmuzey,jeanyves berteloot",2021,105 min,"action  adventure,dramas,international movies",tired of the smalltime grind three marseille cops get a chance to bust a major drug network but lines blur when a key informant makes a big ask
38,angry birds,tv show,,"antti pääkkönen,heljä heikkinen,lynne guaglione,pasi ruohonen,rauno ahonen",2018,1 season,"kids tv,tv comedies",birds red chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal
39,birth of the dragon,movie,george nolfi,"billy magnussen,ron yuan,qu jingjing,terry chen,vanness wu,jin xing,philip ng,xia yu,yu xia",2017,96 min,"action  adventure,dramas",a young bruce lee angers kung fu traditionalists by teaching outsiders leading to a showdown with a shaolin master in this film based on real events
40,chhota bheem,tv show,,"vatsal dubey,julie tejwani,rupa bhimani,jigna bhardwaj,rajesh kava,mousam,swapnil",2021,3 seasons,kids tv,a brave energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil
41,heman and the masters of the universe,tv show,,"yuri lowenthal,kimberly brooks,antony del rio,trevor devall,ben diskin,grey griffin,david kaye,tom kenny,judy alice lee,roger craig smith,fred tatasciore",2021,1 season,"kids tv,tv scifi  fantasy",mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull  and their destiny to defend eternia from sinister skeletor
42,jaws,movie,steven spielberg,"roy scheider,robert shaw,richard dreyfuss,lorraine gary,murray hamilton,carl gottlieb,jeffrey kramer,susan backlinie,jonathan filley,ted grossman",1975,124 min,"action  adventure,classic movies,dramas",when an insatiable great white shark terrorizes amity island a police chief an oceanographer and a grizzled shark hunter seek to destroy the beast
43,jaws 2,movie,jeannot szwarc,"roy scheider,lorraine gary,murray hamilton,joseph mascolo,jeffrey kramer,collin wilcox paxton,ann dusenberry,mark gruner,barry coe,susan french",1978,116 min,"dramas,horror movies,thrillers",four years after the last deadly shark attacks police chief martin brody fights to protect amity island from another killer great white
44,jaws 3,movie,joe alves,"dennis quaid,bess armstrong,simon maccorkindale,louis gossett jr,john putch,lea thompson,ph moriarty,dan blasko,liz morris,lisa maurer",1983,98 min,"action  adventure,horror movies,thrillers",after the staff of a marine theme park try to capture a young great white shark they discover its mother has invaded the enclosure and is out for blood
45,jaws the revenge,movie,joseph sargent,"lorraine gary,lance guest,mario van peebles,karen young,michael caine,judith barsi,mitchell anderson,lynn whitfield",1987,91 min,"action  adventure,horror movies,thrillers",after another deadly shark attack ellen brody has had enough of amity island and moves to the caribbean  but a great white shark follows her there
46,my heroes were cowboys,movie,tyler greco,,2021,23 min,documentaries,robin wiltshires painful childhood was rescued by westerns now he lives on the frontier of his dreams training the horses he loves for the big screen
47,safe house,movie,daniel espinosa,"denzel washington,ryan reynolds,vera farmiga,brendan gleeson,sam shepard,rubén blades,nora arnezeder,robert patrick,liam cunningham,joel kinnaman",2012,115 min,action  adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that is come under attack and get him to a securer location
48,the smart money woman,tv show,bunmi ajakaiye,"osas ighodaro,ini dimaokojie,kemi lala akindoju,toni tones,ebenezer eno,eso okolocha dike,patrick diabuah,karibi fubara,temisan emmanuel,timini egbuson",2020,1 season,"international tv shows,romantic tv shows,tv comedies",five glamorous millennials strive for success as they juggle careers finances love and friendships based on arese ugwus 2016 bestselling novel
49,training day,movie,antoine fuqua,"denzel washington,ethan hawke,scott glenn,tom berenger,harris yulin,raymond j barry,cliff curtis,dr dre,snoop dogg,macy gray,eva mendes",2001,122 min,"dramas,thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentors questionable brand of justice
50,castle and castle,tv show,,"richard mofedamijo,dakore akande,bimbo manuel,blossom chukwujekwu,deyemi okanlawon,etim effiong,denola grey,duke akintola,eku edewor,ade laoye,anee icha,kevin ushi,jude chukwuka,amanda afolabi",2021,2 seasons,"international tv shows,tv dramas",a pair of highpowered successful lawyers find themselves defending opposite interests of the justice system causing a strain on their happy marriage
51,dharmakshetra,tv show,,"kashmira irani,chandan anand,dinesh mehta,ankit arora,pushkar goggiaa,anjali rana,aarya dharmchand kumar,amit behl,maleeka ghai",2014,1 season,"international tv shows,tv dramas,tv scifi  fantasy",after the ancient great war the god chitragupta oversees a trial to determine who were the battles true heroes and villains
52,inuyasha the movie 2 the castle beyond the looking glass,movie,toshiya shinohara,"kappei yamaguchi,satsuki yukino,mieko harada,koji tsujitani,houko kuwashima,kumiko watanabe,noriko hidaka,kenichi ogata,toshiyuki morikawa,izumi ogami",2002,99 min,"action  adventure,anime features,international movies",with their biggest foe seemingly defeated inuyasha and his friends return to everyday life but the peace is soon shattered by an emerging new enemy
53,inuyasha the movie 3 swords of an honorable ruler,movie,toshiya shinohara,"kappei yamaguchi,satsuki yukino,koji tsujitani,houko kuwashima,kumiko watanabe,ken narita,akio otsuka,kikuko inoue",2003,99 min,"action  adventure,anime features,international movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons now the evil power of the third sword has been awakened
54,inuyasha the movie 4 fire on the mystic island,movie,toshiya shinohara,"kappei yamaguchi,satsuki yukino,koji tsujitani,houko kuwashima,kumiko watanabe,noriko hidaka,ken narita,cho,mamiko noto,nobutoshi canna",2004,88 min,"action  adventure,anime features,international movies",ai a young halfdemon who has escaped from horai island to try to help her people returns with potential saviors inuyasha sesshomaru and kikyo
55,inuyasha the movie affections touching across time,movie,toshiya shinohara,"kappei yamaguchi,satsuki yukino,koji tsujitani,houko kuwashima,kumiko watanabe,kenichi ogata,noriko hidaka,hisako kyoda,ken narita,tomokazu seki",2001,100 min,"action  adventure,anime features,international movies",a powerful demon has been sealed away for 200 years but when the demons son is awakened the fate of the world is in jeopardy
56,nailed it,tv show,,"nicole byer,jacques torres",2021,6 seasons,reality tv,home bakers with a terrible track record take a crack at recreating edible masterpieces for a 10000 prize it is part reality contest part hot mess
57,naruto shippuden the movie blood prison,movie,masahiko murata,"junko takeuchi,chie nakamura,rikiya koyama,kazuhiko inoue,masaki terasoma,mie sonozaki,yuichi nakamura,kengo kawanishi,kosei hirota,masako katsuki",2011,102 min,"action  adventure,anime features,international movies",mistakenly accused of an attack on the fourth raikage ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed
58,naruto shippûden the movie bonds,movie,hajime kamegaki,"junko takeuchi,chie nakamura,noriaki sugiyama,unsho ishizuka,motoko kumai,kazuhiko inoue,rikiya koyama,showtaro morikubo,nana mizuki,satoshi hino,shinji kawada",2008,93 min,"action  adventure,anime features,international movies",when strange ninjas ambush the village of konohagakure it is up to adolescent ninja naruto and his longmissing pal sasuke to save the planet
59,naruto shippûden the movie the will of fire,movie,masahiko murata,"junko takeuchi,chie nakamura,kazuhiko inoue,satoshi hino,showtaro morikubo,kentaro ito,ryoka yuzuki,kohsuke toriumi,nana mizuki,shinji kawada,yoichi masukawa,koichi tochika,yukari tamura",2009,96 min,"action  adventure,anime features,international movies",when four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land
60,naruto shippuden the movie,movie,hajime kamegaki,"junko takeuchi,chie nakamura,yoichi masukawa,koichi tochika,ayumi fujimura,keisuke oda,daisuke kishio,fumiko orikasa,hidetoshi nakamura,tetsuya kakihara,kisho taniyama,miyuki sawashiro,katsuyuki konishi,masako katsuki,keiko nemoto,masashi ebara,kazuhiko inoue,showtaro morikubo,romi park,daisuke ono,seizo kato",2007,95 min,"action  adventure,anime features,international movies",the adventures of adolescent ninja naruto uzumaki continue as he is tasked with protecting a priestess from a demon  but to do so he must die
61,naruto shippuden the movie the lost tower,movie,masahiko murata,"junko takeuchi,chie nakamura,satoshi hino,rikiya koyama,nobuaki fukuda,kenji hamada,keiko nemoto,saori hayami,yumi toma,yuko kobayashi,fujiko takimoto,mutsumi tamura,mayuki makiguchi,toshiyuki morikawa",2010,85 min,"action  adventure,anime features,international movies",when naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil
62,naruto the movie 2 legend of the stone of gelel,movie,hirotsugu kawasaki,"junko takeuchi,gamon kaai,chie nakamura,showtaro morikubo,akira ishida,yasuyuki kase,urara takano,sachiko kojima,houko kuwashima,takako honda",2005,97 min,"action  adventure,anime features,international movies",while on a mission to return a missing pet naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin
63,naruto the movie 3 guardians of the crescent moon kingdom,movie,toshiyuki tsuru,"junko takeuchi,chie nakamura,yoichi masukawa,kazuhiko inoue,akio otsuka,kyousuke ikeda,marika hayashi,umeji sasaki,masashi sugawara,hisao egawa",2006,95 min,"action  adventure,anime features,international movies",exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son hikaru to the crescent moon kingdom
64,naruto the movie ninja clash in the land of snow,movie,tensai okamura,"junko takeuchi,noriaki sugiyama,chie nakamura,kazuhiko inoue,yuhko kaida,tsutomu isobe,hirotaka suzuoki,jun karasawa,harii kaneko,ikuo nishikawa",2004,83 min,"action  adventure,anime features,international movies",naruto sasuke and sakura learn they will be protecting an actress from being hurt while making her next film but it turns out she is a princess
65,nightbooks,movie,david yarovesky,"winslow fegley,lidya jewett,krysten ritter",2021,103 min,children  family movies,scary story fan alex must tell a spinetingling tale every night  or stay trapped with his new friend in a wicked witchs magical apartment forever
66,numberblocks,tv show,,"beth chalmers,david holt,marcel mccalla,teresa gallagher",2021,6 seasons,kids tv,in a place called numberland math adds up to tons of fun when a group of cheerful blocks work play and sing together
67,raja rasoi aur anya kahaniyan,tv show,,,2014,1 season,"docuseries,international tv shows",explore the history and flavors of regional indian cuisine from traditional kashmiri feasts to the vegetarian dishes of gujarat
68,saved by the bell,tv show,,"markpaul gosselaar,tiffani thiessen,mario lopez,lark voorhies,elizabeth berkley,dustin diamond,dennis haskins",1994,9 seasons,"kids tv,tv comedies",from middle school to college best friends zack kelly slater jessie screech and lisa take on the highs and lows of life together in this hit series
69,schumacher,movie,"hannsbruno kammertöns,vanessa nöcker,michael wech",michael schumacher,2021,113 min,"documentaries,international movies,sports movies",through exclusive interviews and archival footage this documentary traces an intimate portrait of seventime formula 1 champion michael schumacher
70,stories by rabindranath tagore,tv show,,,2015,1 season,"international tv shows,tv dramas",the writings of nobel prize winner rabindranath tagore come to life in this collection of tales set in early20thcentury bengal
71,too hot to handle latino,tv show,,itatí cantoral,2021,1 season,"international tv shows,reality tv,romantic tv shows",on this reality show singles from latin america and spain are challenged to give up sex but here abstinence comes with a silver lining us100000
72,a storybots space adventure,movie,david a vargas,"evan spiridellis,erin fitzgerald,jeff gill,fred tatasciore,evan michael lee,jared isaacman,sian proctor,chris sembroski,hayley arceneaux",2021,13 min,children  family movies,join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids questions about space
73,jack whitehall travels with my father,tv show,,"jack whitehall,michael whitehall",2021,5 seasons,"british tv shows,docuseries,international tv shows",jovial comic jack whitehall invites his stuffy father michael to travel with him through southeast asia in an attempt to strengthen their bond
74,king of boys,movie,kemi adetiba,"sola sobowale,adesua etomi,remilekun reminisce safaru,tobechukwu illbliss ejiofor,toni tones,paul sambo,jide kosoko,sharon ooja",2018,182 min,"dramas,international movies",when a powerful businesswomans political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything
75,the worlds most amazing vacation rentals,tv show,,,2021,2 seasons,reality tv,with an eye for every budget three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series
76,you vs wild out cold,movie,ben simms,"bear grylls,jason derek prempeh",2021,106 min,children  family movies,after a plane crash leaves bear with amnesia he must make choices to save the missing pilot and survive in this highstakes interactive adventure
77,yowamushi pedal,tv show,,"daiki yamashita,kohsuke toriumi,jun fukushima,hiroki yasumoto,showtaro morikubo,kentaro ito,daisuke kishio,yoshitsugu matsuoka,junichi suwabe,ayaka suwa,megumi han,tomoaki maeno,tsubasa yonaga,tetsuya kakihara,satoshi hino,hiroyuki yoshino,atsushi abe,koji yusa,kouki miyata,hiro shimono,wataru hatano,yuichi nakamura,kenji nojima,mamoru miyano,daisuke ono,yuma uchida,jun fukuyama",2013,1 season,"anime series,international tv shows",a timid animeloving teen gets drawn into a school cycling club where his new friends help him face tough challenges to develop his racing talent
78,little singham  black shadow,movie,prakash satam,"sumriddhi shukla,jigna bharadwaj,sonal kaushal,neshma chemburkar,ganesh divekar,annamaya verma,anamay verma,manoj pandey",2021,48 min,"children  family movies,comedies",kid cop little singham loses all his superpowers while trying to stop the demon kaals new evil plans can his inner strength help him defeat the enemy
79,tughlaq durbar,movie,delhiprasad deenadayalan,"vijay sethupathi,parthiban,raashi khanna",2020,145 min,"comedies,dramas,international movies",a budding politician has devious plans to rise in the ranks  until an unexpected new presence begins to interfere with his every crooked move
80,tughlaq durbar telugu,movie,delhiprasad deenadayalan,"vijay sethupathi,parthiban,raashi khanna",2021,145 min,"comedies,dramas,international movies",a budding politician has devious plans to rise in the ranks  until an unexpected new presence begins to interfere with his every crooked move
81,firedrake the silver dragon,movie,tomer eshed,"thomas brodiesangster,felicity jones,freddie highmore,patrick stewart,meera syal,sanjeev bhaskar,nonso anozie",2021,93 min,children  family movies,when his home is threatened by humans a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free
82,kate,movie,cedric nicolastroyan,"mary elizabeth winstead,jun kunimura,woody harrelson,tadanobu asano,miyavi,michiel huisman,miku martineau",2021,106 min,action  adventure,slipped a fatal poison on her final job a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge
83,lucifer,tv show,,"tom ellis,lauren german,kevin alejandro,db woodside,lesleyann brandt,scarlett estevez,rachael harris,aimee garcia,tricia helfer,tom welling,jeremiah w birkett,pej vahdat,michael gladis",2021,6 seasons,"crime tv shows,tv comedies,tv dramas",bored with being the lord of hell the devil relocates to los angeles where he opens a nightclub and forms a connection with a homicide detective
84,metal shop masters,tv show,,jo koy,2021,1 season,reality tv,on this competition show a group of metal artists torch cut and weld epic badass creations from hardened steel only one will win a 50000 prize
85,omo ghetto the saga,movie,"jjc skillz,funke akindele","funke akindele,ayo makun,chioma chukwuka akpotha,yemi eberechi alade,blossom chukwujekwu,deyemi okanlawon,alexx ekubo,zubby michael,tina mba,femi jacobs",2020,147 min,"action  adventure,comedies,dramas",twins are reunited as a goodhearted female gangster and her uptight rich sister take on family crime cops and all of the trouble that follows them
86,pokémon master journeys the series,tv show,,"ikue otani,sarah natochenny,zeno robinson,cherami leigh,james carter cathcart,michele knotz,rodger parsons,ray chase,casey mongillo,tara sands",2021,1 season,"anime series,kids tv",as ash battles his way through the world coronation series goh continues his quest to catch every pokémon together they are on a journey to adventure
87,prey,movie,thomas sieben,"david kross,hanno koffler,maria ehrich,robert finster,yung ngo,klaus steinbacher,livia matthes,nellie thalbach",2021,87 min,"international movies,thrillers",a hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter
88,titipo titipo,tv show,,"jeon haeri,kim eunah,hong bumki,nam dohyeong,um sanghyun",2019,2 seasons,"kids tv,korean tv shows",titipo the train is out to prove that he is got what it takes to help the folks of train village ride the rails safely and reliably
89,blood brothers malcolm x  muhammad ali,movie,marcus clarke,"malcolm x,muhammad ali",2021,96 min,"documentaries,sports movies",from a chance meeting to a tragic fallout malcolm x and muhammad alis extraordinary bond cracks under the weight of distrust and shifting ideals
90,mighty raju,tv show,,"julie tejwani,sabina malik,jigna bhardwaj,rupa bhimani,lalit agarwal,rajesh shukla,rajesh kava",2017,4 seasons,kids tv,born with superhuman abilities young raju wants to use his powers to make the world a better place  but that will mean facing plenty of challenges
91,paradise hills,movie,alice waddington,"emma roberts,danielle macdonald,awkwafina,eiza gonzález,milla jovovich,jeremy irvine,arnaud valois,daniel horvath",2019,95 min,"scifi  fantasy,thrillers",uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies that is bad enough but its real purpose is even worse
92,the women and the murderer,movie,"mona achache,patricia tourancheau",,2021,92 min,"documentaries,international movies",this documentary traces the capture of serial killer guy georges through the tireless work of two women a police chief and a victims mother
93,into the night,tv show,,"pauline etienne,laurent capelluto,stefano cassetti,mehmet kurtuluş,babetida sadjo,jan bijvoet,ksawery szlenkier,vincent londez,regina bikkinina,alba gaïa kraghede bellugi,nabil mallat",2021,2 seasons,"international tv shows,tv dramas,tv mysteries",passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below
94,jje,movie,alexis almström,"elsa öhrn,mustapha aarab,jonay pineda skallak,magnus krepper,loreen,albin grenholm,simon mezher,elsa bergström terent,josef kadim,yohannes frezgi",2021,91 min,"dramas,international movies,romantic movies",elisabeth and johnjohn live in the same city but they inhabit different worlds can a passionate first love break through class and cultural barriers
95,show dogs,movie,raja gosnell,"will arnett,ludacris,natasha lyonne,stanley tucci,jordin sparks,gabriel iglesias,shaquille oneal,omar chaparro,alan cumming,andy beckwith,delia sheppard,kerry shale",2018,90 min,"children  family movies,comedies",a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale
96,the circle,tv show,,michelle buteau,2021,3 seasons,reality tv,status and strategy collide in this social experiment and competition show where online players flirt befriend and catfish their way toward 100000
